# HD189733
# Kurucz model parameters: Teff = 5050 K, log(g) = 4.53 dex, [Fe/H] = 0.0 dex
# source: Bouchy+2005_A&A,444,15  # WAVELENGTH (m)     FLUX  (W m-2 sr-1 Hz-1)
# WAVELENGTH             FLUX
9.090000000000000663e-09 0.000000000000000000e+00
9.350000000000001006e-09 0.000000000000000000e+00
9.609999999999999695e-09 0.000000000000000000e+00
9.770000000000000797e-09 0.000000000000000000e+00
9.960000000000001175e-09 0.000000000000000000e+00
1.020000000000000035e-08 0.000000000000000000e+00
1.038000000000000096e-08 0.000000000000000000e+00
1.056000000000000158e-08 0.000000000000000000e+00
1.076999999999999982e-08 0.000000000000000000e+00
1.103999999999999993e-08 0.000000000000000000e+00
1.140000000000000116e-08 0.000000000000000000e+00
1.178000000000000027e-08 0.000000000000000000e+00
1.213000000000000175e-08 0.000000000000000000e+00
1.248000000000000157e-08 0.000000000000000000e+00
1.271000000000000098e-08 0.000000000000000000e+00
1.284000000000000116e-08 0.000000000000000000e+00
1.305000000000000105e-08 0.000000000000000000e+00
1.324000000000000143e-08 0.000000000000000000e+00
1.339000000000000112e-08 0.000000000000000000e+00
1.366000000000000122e-08 0.000000000000000000e+00
1.398000000000000177e-08 0.000000000000000000e+00
1.433000000000000159e-08 0.000000000000000000e+00
1.472000000000000211e-08 0.000000000000000000e+00
1.509999999999999955e-08 0.000000000000000000e+00
1.551999999999999935e-08 0.000000000000000000e+00
1.588000000000000058e-08 0.000000000000000000e+00
1.619999999999999948e-08 0.000000000000000000e+00
1.660000000000000306e-08 0.000000000000000000e+00
1.703000000000000096e-08 0.000000000000000000e+00
1.734000000000000175e-08 0.000000000000000000e+00
1.768000000000000016e-08 0.000000000000000000e+00
1.802000000000000188e-08 0.000000000000000000e+00
1.817000000000000322e-08 0.000000000000000000e+00
1.860999999999999922e-08 0.000000000000000000e+00
1.910000000000000229e-08 0.000000000000000000e+00
1.939000000000000025e-08 0.000000000000000000e+00
1.984000000000000097e-08 0.000000000000000000e+00
2.017999999999999938e-08 0.000000000000000000e+00
2.050000000000000159e-08 0.000000000000000000e+00
2.105000000000000320e-08 0.000000000000000000e+00
2.162000000000000103e-08 0.000000000000000000e+00
2.198000000000000227e-08 0.000000000000000000e+00
2.230000000000000116e-08 0.000000000000000000e+00
2.268000000000000192e-08 0.000000000000000000e+00
2.300000000000000081e-08 0.000000000000000000e+00
2.340000000000000109e-08 0.000000000000000000e+00
2.400000000000000315e-08 0.000000000000000000e+00
2.464999999999999904e-08 0.000000000000000000e+00
2.523999999999999969e-08 0.000000000000000000e+00
2.568000000000000231e-08 0.000000000000000000e+00
2.600000000000000121e-08 0.000000000000000000e+00
2.640000000000000148e-08 0.000000000000000000e+00
2.685000000000000220e-08 0.000000000000000000e+00
2.735000000000000337e-08 0.000000000000000000e+00
2.785000000000000454e-08 0.000000000000000000e+00
2.839999999999999954e-08 0.000000000000000000e+00
2.900000000000000160e-08 0.000000000000000000e+00
2.960000000000000366e-08 0.000000000000000000e+00
3.010000000000000483e-08 0.000000000000000000e+00
3.080000000000000448e-08 0.000000000000000000e+00
3.180000000000000020e-08 0.000000000000000000e+00
3.279999999999999592e-08 0.000000000000000000e+00
3.379999999999999826e-08 0.000000000000000000e+00
3.480000000000000060e-08 -1.833212416470114893e-45
3.570000000000000204e-08 5.708534369197796596e-44
3.660000000000000348e-08 4.100594029995618538e-43
3.750000000000000492e-08 2.815435516680660783e-42
3.850000000000000064e-08 2.007263850987713214e-41
3.950000000000000298e-08 1.090950794923799818e-40
4.050000000000000531e-08 6.165671088078843023e-40
4.140000000000000014e-08 2.778572371703539928e-39
