# WL(nm)	 Flux(ergs/cm**2/s/nm)
2.0         	3.41E-02
4.0         	5.56E-02
6.0         	1.75E-01
8.0         	1.36E-01
10.0        	7.55E-02
12.0        	3.31E-02
14.0        	2.86E-02
16.0        	3.46E-01
18.0        	3.10E-01
20.0        	2.10E-01
22.0        	1.28E-01
24.0        	1.18E-01
26.0        	1.80E-01
28.0        	1.20E-01
30.0        	8.79E-02
30.38       	3.28E+01
32.0        	8.38E-02
34.0        	7.89E-02
36.0        	1.83E-02
36.81       	3.20E+00
38.0        	1.74E-02
40.0        	2.36E-02
42.0        	2.92E-02
44.0        	2.79E-02
46.0        	5.15E-02
48.0        	2.00E-02
49.93       	2.60E-02
50.0        	2.43E-02
52.0        	3.06E-02
54.0        	2.95E-02
55.45       	2.30E+00
56.0        	2.72E-02
58.0        	2.63E-02
58.47       	4.31E+00
60.0        	1.73E-02
60.94       	1.18E+00
62.0        	8.41E-03
62.53       	8.91E-03
62.97       	3.80E+00
64.0        	8.58E-03
66.0        	1.06E-02
68.0        	1.03E-02
70.0        	5.28E-02
72.0        	7.30E-03
74.0        	7.10E-03
76.0        	3.62E-02
76.46       	4.18E-01
77.04       	5.03E-01
78.0        	3.53E-02
79.02       	1.60E+00
80.0        	5.53E-02
82.0        	7.43E-02
83.42       	7.39E-02
84.0        	6.90E-02
86.0        	1.62E-01
88.0        	1.59E-01
90.0        	1.52E-01
92.0        	1.37E-01
92.31       	1.46E-01
93.34       	1.44E-01
93.78       	1.43E-01
94.0        	1.20E-01
94.97       	1.42E-01
96.0        	5.88E-02
97.25       	5.86E-02
97.7        	9.74E+00
98.0        	5.47E-02
99.1        	8.75E-02
100.0       	8.14E-02
102.0       	1.13E-01
102.6       	6.82E+00
103.5       	3.90E-01
106.0       	2.99E-01
111.0       	4.00E-01
115.5       	3.67E-01
119.0       	3.79E-01
121.0       	8.15E-01
121.6       	4.36E+02
125.0       	2.02E-01
130.0       	2.87E-01
135.0       	4.16E-01
140.0       	3.83E-01
145.0       	4.33E-01
150.0       	6.51E-01
155.0       	1.34E+00
160.0       	1.44E+00
165.0       	2.61E+00
170.0       	4.48E+00
175.0       	8.38E+00
180.0       	1.43E+01
185.0       	1.70E+01
190.0       	2.67E+01
195.0       	3.91E+01
200.0       	5.54E+01
205.0       	8.02E+01
210.0       	1.79E+02
215.0       	2.66E+02
220.0       	3.43E+02
225.0       	4.04E+02
230.0       	3.87E+02
235.0       	3.59E+02
240.0       	3.87E+02
245.0       	4.40E+02
250.0       	3.96E+02
255.0       	5.26E+02
257.5       	8.93E+02
262.5       	1.18E+03
267.5       	1.92E+03
272.5       	1.71E+03
277.5       	1.40E+03
282.5       	1.80E+03
287.5       	2.80E+03
292.5       	4.37E+03
297.5       	4.03E+03
302.5       	4.13E+03
307.5       	4.97E+03
312.5       	5.36E+03
317.5       	5.68E+03
322.5       	6.33E+03
327.5       	7.31E+03
332.5       	7.61E+03
337.5       	7.59E+03
342.5       	7.64E+03
347.5       	7.61E+03
352.5       	7.96E+03
357.5       	7.79E+03
362.5       	8.21E+03
367.5       	9.24E+03
372.5       	8.86E+03
377.5       	8.83E+03
382.5       	8.38E+03
387.5       	8.27E+03
392.5       	8.33E+03
397.5       	1.04E+04
402.5       	1.34E+04
410.0       	1.40E+04
420.0       	1.42E+04
430.0       	1.31E+04
440.0       	1.47E+04
450.0       	1.62E+04
460.0       	1.63E+04
470.0       	1.61E+04
480.0       	1.61E+04
490.0       	1.54E+04
500.0       	1.54E+04
510.0       	1.51E+04
520.0       	1.45E+04
530.0       	1.50E+04
540.0       	1.47E+04
550.0       	1.46E+04
560.0       	1.43E+04
570.0       	1.44E+04
580.0       	1.46E+04
590.0       	1.43E+04
600.0       	1.40E+04
610.0       	1.38E+04
620.0       	1.35E+04
630.0       	1.32E+04
640.0       	1.30E+04
650.0       	1.24E+04
660.0       	1.23E+04
670.0       	1.24E+04
680.0       	1.22E+04
690.0       	1.17E+04
700.0       	1.23E+04
710.0       	1.12E+04
720.0       	1.09E+04
730.0       	1.07E+04
740.0       	1.03E+04
750.0       	1.02E+04
760.0       	9.92E+03
770.0       	9.56E+03
780.0       	9.46E+03
790.0       	9.26E+03
800.0       	9.03E+03
810.0       	8.79E+03
820.0       	8.58E+03
830.0       	8.33E+03
840.0       	8.09E+03
850.0       	7.73E+03
866.5       	7.81E+03
926.5       	7.03E+03
999.0       	6.14E+03
1053.0      	5.43E+03
1100.0      	4.89E+03
1166.5      	4.25E+03
1255.0      	3.57E+03
1369.0      	2.91E+03
1498.0      	2.37E+03
1626.5      	1.91E+03
1775.0      	1.41E+03
1941.0      	9.75E+02
2111.5      	7.31E+02
2342.0      	5.51E+02
2570.5      	4.12E+02
2790.0      	3.22E+02
3079.5      	2.27E+02
3408.0      	1.43E+02
3793.5      	9.48E+01
4091.0      	7.12E+01
4358.5      	2.53E+02
