# WL(nm)	 Flux(ergs/cm**2/s/nm)
2.0         	3.41E-01
4.0         	5.56E-01
6.0         	1.75E+00
8.0         	1.36E+00
10.0        	7.55E-01
12.0        	3.31E-01
14.0        	2.86E-01
16.0        	3.46E+00
18.0        	3.10E+00
20.0        	2.10E+00
22.0        	1.28E+00
24.0        	1.18E+00
26.0        	1.80E+00
28.0        	1.20E+00
30.0        	8.79E-01
30.38       	3.28E+02
32.0        	8.38E-01
34.0        	7.89E-01
36.0        	1.83E-01
36.81       	3.20E+01
38.0        	1.74E-01
40.0        	2.36E-01
42.0        	2.92E-01
44.0        	2.79E-01
46.0        	5.15E-01
48.0        	2.00E-01
49.93       	2.60E-01
50.0        	2.43E-01
52.0        	3.06E-01
54.0        	2.95E-01
55.45       	2.30E+01
56.0        	2.72E-01
58.0        	2.63E-01
58.47       	4.31E+01
60.0        	1.73E-01
60.94       	1.18E+01
62.0        	8.41E-02
62.53       	8.91E-02
62.97       	3.80E+01
64.0        	8.58E-02
66.0        	1.06E-01
68.0        	1.03E-01
70.0        	5.28E-01
72.0        	7.30E-02
74.0        	7.10E-02
76.0        	3.62E-01
76.46       	4.18E+00
77.04       	5.03E+00
78.0        	3.53E-01
79.02       	1.60E+01
80.0        	5.53E-01
82.0        	7.43E-01
83.42       	7.39E-01
84.0        	6.90E-01
86.0        	1.62E+00
88.0        	1.59E+00
90.0        	1.52E+00
92.0        	1.37E+00
92.31       	1.46E+00
93.34       	1.44E+00
93.78       	1.43E+00
94.0        	1.20E+00
94.97       	1.42E+00
96.0        	5.88E-01
97.25       	5.86E-01
97.7        	9.74E+01
98.0        	5.47E-01
99.1        	8.75E-01
100.0       	8.14E-01
102.0       	1.13E+00
102.6       	6.82E+01
103.5       	3.90E+00
106.0       	2.99E+00
111.0       	4.00E+00
115.5       	3.67E+00
119.0       	3.79E+00
121.0       	8.15E+00
121.6       	4.36E+03
125.0       	2.02E+00
130.0       	2.87E+00
135.0       	4.16E+00
140.0       	3.83E+00
145.0       	4.33E+00
150.0       	6.51E+00
155.0       	1.34E+01
160.0       	1.44E+01
165.0       	2.61E+01
170.0       	4.48E+01
175.0       	8.38E+01
180.0       	1.43E+02
185.0       	1.70E+02
190.0       	2.67E+02
195.0       	3.91E+02
200.0       	5.54E+02
205.0       	8.02E+02
210.0       	1.79E+03
215.0       	2.66E+03
220.0       	3.43E+03
225.0       	4.04E+03
230.0       	3.87E+03
235.0       	3.59E+03
240.0       	3.87E+03
245.0       	4.40E+03
250.0       	3.96E+03
255.0       	5.26E+03
257.5       	8.93E+03
262.5       	1.18E+04
267.5       	1.92E+04
272.5       	1.71E+04
277.5       	1.40E+04
282.5       	1.80E+04
287.5       	2.80E+04
292.5       	4.37E+04
297.5       	4.03E+04
302.5       	4.13E+04
307.5       	4.97E+04
312.5       	5.36E+04
317.5       	5.68E+04
322.5       	6.33E+04
327.5       	7.31E+04
332.5       	7.61E+04
337.5       	7.59E+04
342.5       	7.64E+04
347.5       	7.61E+04
352.5       	7.96E+04
357.5       	7.79E+04
362.5       	8.21E+04
367.5       	9.24E+04
372.5       	8.86E+04
377.5       	8.83E+04
382.5       	8.38E+04
387.5       	8.27E+04
392.5       	8.33E+04
397.5       	1.04E+05
402.5       	1.34E+05
410.0       	1.40E+05
420.0       	1.42E+05
430.0       	1.31E+05
440.0       	1.47E+05
450.0       	1.62E+05
460.0       	1.63E+05
470.0       	1.61E+05
480.0       	1.61E+05
490.0       	1.54E+05
500.0       	1.54E+05
510.0       	1.51E+05
520.0       	1.45E+05
530.0       	1.50E+05
540.0       	1.47E+05
550.0       	1.46E+05
560.0       	1.43E+05
570.0       	1.44E+05
580.0       	1.46E+05
590.0       	1.43E+05
600.0       	1.40E+05
610.0       	1.38E+05
620.0       	1.35E+05
630.0       	1.32E+05
640.0       	1.30E+05
650.0       	1.24E+05
660.0       	1.23E+05
670.0       	1.24E+05
680.0       	1.22E+05
690.0       	1.17E+05
700.0       	1.23E+05
710.0       	1.12E+05
720.0       	1.09E+05
730.0       	1.07E+05
740.0       	1.03E+05
750.0       	1.02E+05
760.0       	9.92E+04
770.0       	9.56E+04
780.0       	9.46E+04
790.0       	9.26E+04
800.0       	9.03E+04
810.0       	8.79E+04
820.0       	8.58E+04
830.0       	8.33E+04
840.0       	8.09E+04
850.0       	7.73E+04
866.5       	7.81E+04
926.5       	7.03E+04
999.0       	6.14E+04
1053.0      	5.43E+04
1100.0      	4.89E+04
1166.5      	4.25E+04
1255.0      	3.57E+04
1369.0      	2.91E+04
1498.0      	2.37E+04
1626.5      	1.91E+04
1775.0      	1.41E+04
1941.0      	9.75E+03
2111.5      	7.31E+03
2342.0      	5.51E+03
2570.5      	4.12E+03
2790.0      	3.22E+03
3079.5      	2.27E+03
3408.0      	1.43E+03
3793.5      	9.48E+02
4091.0      	7.12E+02
4358.5      	2.53E+03
