#(dyne/cm2) (K)		 
Pressure	Temp  	   
1e+09                   1984.69           
7.94328e+08             1984.69           
6.30957e+08             1984.69           
5.01187e+08             1984.7            
3.98107e+08             1984.7            
3.16228e+08             1984.71           
2.51189e+08             1984.72           
1.99526e+08             1984.72           
1.58489e+08             1984.72           
1.25893e+08             1984.73           
1e+08                   1984.73           
7.94328e+07             1984.74           
6.30957e+07             1984.74           
5.01187e+07             1984.75           
3.98107e+07             1984.75           
3.16228e+07             1984.76           
2.51189e+07             1984.76           
1.99526e+07             1984.76           
1.58489e+07             1984.76           
1.25893e+07             1984.74           
1e+07                   1984.53           
7.94328e+06             1983.79           
6.30957e+06             1981.93           
5.01187e+06             1978.36           
3.98107e+06             1972.77           
3.16228e+06             1965.12           
2.51189e+06             1955.52           
1.99526e+06             1942.52           
1.58489e+06             1924.27           
1.25893e+06             1899.04           
1e+06                   1866.59           
794328                  1829.23           
630957                  1786.02           
501187                  1737.72           
398107                  1686.58           
316228                  1635.15           
251189                  1585.91           
199526                  1538.86           
158489                  1494.18           
125893                  1451.41           
100000                  1410.5            
79432.8                 1371.34           
63095.7                 1332.88           
50118.7                 1295.46           
39810.7                 1259.51           
31622.8                 1226.25           
25118.9                 1195.41           
19952.6                 1166.79           
15848.9                 1141.13           
12589.3                 1118.93           
10000                   1100.35           
7943.28                 1083.1            
6309.57                 1067.26           
5011.87                 1053.17           
3981.07                 1040.89           
3162.28                 1030.26           
2511.89                 1019.86           
1995.26                 1010.09           
1584.89                 1001.08           
1258.93                 992.735           
1000                    984.895           
794.328                 976.911           
630.957                 969.082           
501.187                 961.446           
398.107                 953.979           
316.228                 946.661           
251.189                 939.337           
199.526                 932.192           
158.489                 925.301           
125.893                 918.697           
100                     912.382           
79.4328                 906.274           
63.0957                 900.324           
50.1187                 894.316           
39.8107                 888.309           
31.6228                 882.296           
25.1189                 876.273           
19.9526                 870.288           
15.8489                 864.384           
12.5893                 858.607           
10                      852.992           
7.94328                 847.549           
6.30957                 842.27            
5.01187                 837.135           
3.98107                 832.135           
3.16228                 827.298           
2.51189                 822.678           
1.99526                 818.333           
1.58489                 814.296           
1.25893                 810.552           
