# WL(nm)	 Flux(ergs/cm**2/s/nm)
2.0         	3.41E-01
4.0         	5.56E-01
6.0         	1.75E+00
8.0         	1.36E+00
10.0        	7.55E-01
12.0        	3.31E-01
14.0        	2.86E-01
16.0        	3.46E+00
18.0        	3.10E+00
20.0        	2.10E+00
22.0        	1.28E+00
24.0        	1.18E+00
26.0        	1.80E+00
28.0        	1.20E+00
30.0        	8.79E-01
30.38       	3.28E+02
32.0        	8.38E-01
34.0        	7.89E-01
36.0        	1.83E-01
36.81       	3.20E+01
38.0        	1.74E-01
40.0        	2.36E-01
42.0        	2.92E-01
44.0        	2.79E-01
46.0        	5.15E-01
48.0        	2.00E-01
49.93       	2.60E-01
50.0        	2.43E-01
52.0        	3.06E-01
54.0        	2.95E-01
55.45       	2.30E+01
56.0        	2.72E-01
58.0        	2.63E-01
58.47       	4.31E+01
60.0        	1.73E-01
60.94       	1.18E+01
62.0        	8.41E-02
62.53       	8.91E-02
62.97       	3.80E+01
64.0        	8.58E-02
66.0        	1.06E-01
68.0        	1.03E-01
70.0        	5.28E-01
72.0        	7.30E-02
74.0        	7.10E-02
76.0        	3.62E-01
76.46       	4.18E+00
77.04       	5.03E+00
78.0        	3.53E-01
79.02       	1.60E+01
80.0        	5.53E-01
82.0        	7.43E-01
83.42       	7.39E-01
84.0        	6.90E-01
86.0        	1.62E+00
88.0        	1.59E+00
90.0        	1.52E+00
92.0        	1.37E+00
92.31       	1.46E+00
93.34       	1.44E+00
93.78       	1.43E+00
94.0        	1.20E+00
94.97       	1.42E+00
96.0        	5.88E-01
97.25       	5.86E-01
97.7        	9.74E+01
98.0        	5.47E-01
99.1        	8.75E-01
100.0       	8.14E-01
102.0       	1.13E+00
102.6       	6.82E+01
103.5       	3.90E+00
106.0       	2.99E+00
111.0       	4.00E+00
115.0       	1.47E+06
115.0012    	1.41E+06
115.0024    	4.93E+05
115.0156    	1.29E+03
115.0192    	5.91E+04
115.0204    	3.76E+05
115.0216    	1.63E+05
115.0288    	4.34E+05
115.03      	6.45E+05
115.0336    	5.26E+04
115.0348    	1.51E+05
115.0432    	1.11E+05
115.0444    	1.14E+05
115.048     	1.38E+06
115.0492    	9.66E+04
115.0504    	2.49E+05
115.0516    	2.77E+05
115.0528    	7.40E+04
115.054     	1.15E+06
115.0588    	1.71E+05
115.0612    	3.12E+02
115.0648    	2.91E+05
115.066     	8.86E+05
115.0672    	3.48E+04
115.0684    	5.52E+05
115.0708    	6.31E+05
115.0732    	3.68E+05
115.0768    	2.16E+05
115.0804    	2.74E+05
115.0816    	3.49E+05
115.0828    	9.69E+05
115.0912    	1.64E+05
115.0924    	5.54E+05
115.0936    	9.75E+04
115.0948    	1.06E+05
115.0972    	3.91E+05
115.0984    	1.28E+06
115.0996    	4.16E+05
115.1056    	5.90E+05
115.1068    	5.61E+05
115.1104    	1.00E+06
115.1116    	6.86E+05
115.1128    	2.90E+05
115.114     	7.17E+05
115.1152    	2.62E+05
115.1212    	1.89E+05
115.1224    	1.05E+06
115.1236    	7.25E+05
115.1248    	4.59E+05
115.126     	4.91E+05
115.1272    	2.65E+05
115.1284    	2.53E+05
115.132     	1.04E+05
115.1344    	2.48E+05
115.1356    	2.92E+05
115.1368    	2.91E+05
115.138     	7.60E+05
115.1392    	2.37E+05
115.1416    	2.83E+05
115.1452    	2.54E+05
115.1464    	4.30E+05
115.1476    	3.19E+05
115.1488    	1.02E+04
115.15      	3.74E+05
115.1512    	7.84E+05
115.1524    	3.34E+05
115.1536    	5.15E+04
115.1548    	4.09E+05
115.156     	6.27E+05
115.1608    	9.22E+04
115.1644    	5.76E+05
115.1656    	4.30E+05
115.1668    	3.42E+05
115.168     	1.43E+05
115.1692    	4.60E+05
115.1716    	2.02E+05
115.1752    	2.30E+04
115.1764    	2.24E+05
115.1776    	5.99E+05
115.1788    	4.89E+05
115.18      	2.19E+04
115.1824    	8.73E+04
115.1836    	6.82E+05
115.1848    	2.09E+05
115.186     	8.34E+03
115.1896    	1.29E+05
115.1908    	1.34E+04
115.1968    	1.46E+05
115.198     	6.25E+05
115.2076    	1.58E+05
115.2112    	6.35E+04
115.2124    	7.05E+05
115.2136    	1.32E+05
115.2172    	3.57E+05
115.2184    	2.36E+05
115.2196    	2.20E+05
115.2208    	7.69E+05
115.222     	8.32E+05
115.2232    	3.74E+05
115.2244    	2.40E+05
115.2256    	8.82E+05
115.2268    	4.32E+05
115.2328    	2.86E+05
115.234     	7.30E+05
115.2352    	1.93E+04
115.2388    	4.31E+05
115.24      	2.44E+05
115.2412    	4.26E+05
115.2424    	5.63E+05
115.2436    	1.08E+05
115.2472    	1.46E+06
115.2484    	1.16E+06
115.2496    	1.23E+06
115.2508    	3.82E+05
115.252     	5.16E+05
115.2544    	1.12E+06
115.2556    	5.57E+05
115.2568    	5.14E+05
115.258     	4.13E+03
115.2604    	1.33E+05
115.2628    	2.09E+05
115.2652    	1.68E+05
115.2664    	2.05E+05
115.2676    	1.99E+05
115.2688    	4.68E+04
115.27      	2.14E+04
115.2712    	6.74E+04
115.2772    	4.36E+04
115.2784    	6.88E+03
115.2832    	4.05E+05
115.2844    	1.85E+05
115.2928    	4.20E+05
115.294     	1.63E+05
115.2952    	7.31E+05
115.2964    	1.95E+05
115.2976    	5.78E+05
115.2988    	4.39E+05
115.3       	6.06E+05
115.3012    	1.35E+05
115.3108    	1.68E+05
115.3144    	2.81E+05
115.3156    	2.93E+05
115.3348    	3.51E+05
115.3372    	3.73E+05
115.3384    	1.79E+05
115.342     	1.46E+05
115.3468    	2.64E+05
115.348     	7.28E+05
115.3492    	6.24E+05
115.3504    	1.43E+05
115.3528    	2.77E+05
115.354     	1.52E+05
115.3552    	1.98E+05
115.3636    	9.36E+03
115.3648    	5.36E+04
115.366     	1.67E+05
115.3672    	8.15E+04
115.3684    	4.06E+05
115.3696    	5.50E+05
115.372     	1.14E+05
115.3732    	2.34E+05
115.3744    	2.29E+05
115.3756    	2.55E+05
115.3768    	2.14E+05
115.3804    	8.75E+04
115.3816    	1.40E+05
115.3864    	1.69E+05
115.3888    	6.11E+04
115.39      	6.19E+05
115.3924    	1.12E+04
115.3936    	3.75E+04
115.3948    	1.18E+05
115.3972    	5.77E+04
115.3984    	2.43E+05
115.3996    	2.29E+05
115.4008    	4.77E+04
115.402     	7.16E+03
115.4032    	6.71E+04
115.4044    	7.43E+03
115.4056    	4.73E+04
115.4116    	1.15E+05
115.4128    	8.94E+04
115.414     	1.39E+05
115.4152    	1.90E+05
115.4176    	3.04E+05
115.4188    	3.47E+05
115.4272    	1.30E+05
115.4284    	4.42E+05
115.4344    	3.72E+05
115.4404    	1.00E+05
115.4416    	1.46E+05
115.4428    	2.13E+05
115.444     	4.49E+05
115.4452    	3.33E+05
115.4464    	7.78E+02
115.4524    	1.84E+05
115.4608    	1.14E+05
115.4632    	5.97E+04
115.468     	6.32E+05
115.4692    	2.02E+04
115.4704    	4.19E+05
115.4716    	4.20E+05
115.4728    	2.07E+05
115.4788    	9.91E+04
115.48      	2.63E+05
115.4812    	6.35E+05
115.4824    	6.68E+04
115.4872    	3.71E+05
115.4884    	7.08E+05
115.4896    	5.45E+05
115.4908    	2.86E+05
115.5028    	3.63E+04
115.504     	1.45E+05
115.51      	2.15E+05
115.5124    	1.28E+04
115.5136    	3.40E+05
115.5148    	3.40E+05
115.516     	2.32E+05
115.5196    	4.44E+04
115.5208    	1.21E+06
115.522     	2.01E+05
115.5244    	1.57E+05
115.5256    	1.96E+05
115.5304    	5.26E+04
115.534     	1.55E+05
115.5352    	4.75E+05
115.5364    	5.31E+05
115.5496    	5.17E+04
115.5508    	2.65E+05
115.5532    	2.87E+04
115.5544    	2.83E+04
115.558     	3.65E+05
115.5592    	5.07E+05
115.5604    	6.17E+04
115.5628    	5.12E+05
115.564     	7.70E+05
115.5652    	4.61E+04
115.5676    	3.47E+05
115.5724    	3.99E+05
115.5736    	6.67E+04
115.5748    	7.55E+04
115.576     	6.26E+05
115.5772    	5.12E+05
115.5784    	2.66E+04
115.5832    	3.25E+05
115.588     	1.06E+05
115.5892    	2.54E+05
115.5904    	2.27E+05
115.5916    	2.81E+05
115.5928    	3.14E+04
115.5964    	7.97E+04
115.6024    	5.77E+05
115.6036    	6.85E+05
115.6084    	3.52E+05
115.6096    	4.36E+05
115.6108    	3.75E+05
115.6132    	7.89E+04
115.6192    	2.83E+05
115.6228    	1.14E+05
115.624     	6.62E+04
115.6252    	2.25E+05
115.6264    	6.77E+05
115.6276    	6.38E+05
115.636     	1.16E+05
115.6372    	1.58E+05
115.6384    	1.78E+05
115.6408    	4.96E+04
115.642     	7.27E+05
115.6432    	4.88E+05
115.648     	1.16E+05
115.6492    	3.47E+05
