#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    
0         	0         	5         	ok              	ok              	1.0000000000e+03	2.2865000000e+03	5.3060866272e+21	3.1677074881e+21	2.3593482792e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	0         	5         	ok              	ok              	7.7430000000e+02	2.1434000000e+03	4.3830794549e+21	2.6165094633e+21	2.3594991310e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	0         	5         	ok              	ok              	5.9950000000e+02	2.0074000000e+03	3.6236286758e+21	2.1630748338e+21	2.3595812171e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	0         	4         	ok              	ok              	4.6420000000e+02	1.8782000000e+03	2.9988822635e+21	1.7901094155e+21	2.3596230075e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	0         	4         	ok              	ok              	3.5940000000e+02	1.7683000000e+03	2.4661618870e+21	1.4721036950e+21	2.3596411683e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	0         	4         	ok              	ok              	2.7830000000e+02	1.6921000000e+03	1.9956660653e+21	1.1912514926e+21	2.3596478853e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	0         	4         	ok              	ok              	2.1540000000e+02	1.6248000000e+03	1.6085966396e+21	9.6020080450e+20	2.3596515642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	0         	4         	ok              	ok              	1.6680000000e+02	1.5726000000e+03	1.2870027488e+21	7.6823493388e+20	2.3596533626e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	0         	4         	ok              	ok              	1.2920000000e+02	1.5569000000e+03	1.0069398360e+21	6.0106033898e+20	2.3596535110e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	0         	4         	ok              	ok              	1.0000000000e+02	1.5444000000e+03	7.8567320504e+20	4.6898233434e+20	2.3596535395e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	0         	5         	ok              	ok              	7.7430000000e+01	1.5315000000e+03	6.1347095336e+20	3.6619173253e+20	2.3596536212e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	0         	5         	ok              	ok              	5.9950000000e+01	1.5248000000e+03	4.7706551105e+20	2.8476891536e+20	2.3596534669e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	0         	5         	ok              	ok              	4.6420000000e+01	1.5174000000e+03	3.7119895717e+20	2.2157529354e+20	2.3596533580e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	0         	6         	ok              	ok              	3.5940000000e+01	1.5217000000e+03	2.8658311561e+20	1.7106663362e+20	2.3596526251e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	0         	7         	ok              	ok              	2.7830000000e+01	1.5273000000e+03	2.2110077322e+20	1.3197909059e+20	2.3596517919e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	0         	8         	ok              	ok              	2.1540000000e+01	1.5281000000e+03	1.7103901826e+20	1.0209634626e+20	2.3596510297e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	0         	8         	ok              	ok              	1.6680000000e+01	1.5485000000e+03	1.3070302863e+20	7.8019131871e+19	2.3596485318e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	0         	8         	ok              	ok              	1.2920000000e+01	1.5701000000e+03	9.9847074096e+19	5.9600715990e+19	2.3596448951e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	0         	7         	ok              	ok              	1.0000000000e+01	1.5780000000e+03	7.6894029943e+19	4.5899639870e+19	2.3596420854e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	0         	6         	ok              	ok              	7.7430000000e+00	1.5749000000e+03	5.9656206167e+19	3.5610047519e+19	2.3596406092e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	0         	5         	ok              	ok              	5.9950000000e+00	1.5730000000e+03	4.6244435639e+19	2.7604300199e+19	2.3596388196e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	0         	5         	ok              	ok              	4.6420000000e+00	1.5697000000e+03	3.5882870641e+19	2.1419274411e+19	2.3596370787e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	0         	4         	ok              	ok              	3.5940000000e+00	1.5610000000e+03	2.7936613171e+19	1.6675983112e+19	2.3596364319e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	0         	4         	ok              	ok              	2.7830000000e+00	1.5482000000e+03	2.1811462426e+19	1.3019743254e+19	2.3596367509e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	0         	4         	ok              	ok              	2.1540000000e+00	1.5308000000e+03	1.7073640724e+19	1.0191627039e+19	2.3596381155e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	0         	3         	ok              	ok              	1.6680000000e+00	1.5110000000e+03	1.3394632819e+19	7.9955410789e+18	2.3596399600e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	0         	3         	ok              	ok              	1.2920000000e+00	1.4905000000e+03	1.0517925968e+19	6.2783686130e+18	2.3596418318e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	0         	3         	ok              	ok              	1.0000000000e+00	1.4692000000e+03	8.2588390608e+18	4.9298687528e+18	2.3596437123e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	0         	3         	ok              	ok              	7.7430000000e-01	1.4472000000e+03	6.4920366961e+18	3.8752255277e+18	2.3596455467e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	0         	3         	ok              	ok              	5.9950000000e-01	1.4222000000e+03	5.1148057854e+18	3.0531264389e+18	2.3596475786e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	0         	3         	ok              	ok              	4.6420000000e-01	1.3950000000e+03	4.0376802752e+18	2.4101673866e+18	2.3596495515e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	0         	3         	ok              	ok              	3.5940000000e-01	1.3660000000e+03	3.1924837652e+18	1.9056522429e+18	2.3596513241e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	0         	3         	ok              	ok              	2.7830000000e-01	1.3363000000e+03	2.5270325081e+18	1.5084312285e+18	2.3596527741e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	0         	3         	ok              	ok              	2.1540000000e-01	1.3057000000e+03	2.0017235519e+18	1.1948642622e+18	2.3596539332e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	0         	3         	ok              	ok              	1.6680000000e-01	1.2751000000e+03	1.5872808042e+18	9.4747569368e+17	2.3596547993e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	0         	3         	ok              	ok              	1.2920000000e-01	1.2445000000e+03	1.2597074351e+18	7.5194121476e+17	2.3596554317e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	0         	3         	ok              	ok              	1.0000000000e-01	1.2149000000e+03	9.9876112023e+17	5.9617772422e+17	2.3596558658e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	0         	3         	ok              	ok              	7.7430000000e-02	1.1882000000e+03	7.9071853936e+17	4.7199346774e+17	2.3596561396e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	0         	3         	ok              	ok              	5.9950000000e-02	1.1629000000e+03	6.2553132310e+17	3.7339035354e+17	2.3596563267e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	0         	3         	ok              	ok              	4.6420000000e-02	1.1420000000e+03	4.9322070192e+17	2.9441186552e+17	2.3596564354e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	0         	3         	ok              	ok              	3.5940000000e-02	1.1264000000e+03	3.8715752616e+17	2.3110093784e+17	2.3596564923e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	0         	2         	ok              	ok              	2.7830000000e-02	1.1143000000e+03	3.0304935002e+17	1.8089532896e+17	2.3596565114e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	0         	2         	ok              	ok              	2.1540000000e-02	1.1019000000e+03	2.3719514887e+17	1.4158583058e+17	2.3596565468e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	0         	2         	ok              	ok              	1.6680000000e-02	1.0902000000e+03	1.8564880575e+17	1.1081693790e+17	2.3596565748e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	0         	2         	ok              	ok              	1.2920000000e-02	1.0774000000e+03	1.4550832402e+17	8.6856398902e+16	2.3596566028e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	0         	2         	ok              	ok              	1.0000000000e-02	1.0661000000e+03	1.1381627194e+17	6.7938872259e+16	2.3596566228e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	0         	2         	ok              	ok              	7.7430000000e-03	1.0572000000e+03	8.8869841622e+16	5.3047922661e+16	2.3596566340e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	0         	2         	ok              	ok              	5.9950000000e-03	1.0504000000e+03	6.9252710577e+16	4.1338122823e+16	2.3596566388e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	0         	2         	ok              	ok              	4.6420000000e-03	1.0452000000e+03	5.3889981835e+16	3.2167848299e+16	2.3596566390e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	0         	2         	ok              	ok              	3.5940000000e-03	1.0420000000e+03	4.1851656762e+16	2.4981967024e+16	2.3596566333e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	0         	2         	ok              	ok              	2.7830000000e-03	1.0394000000e+03	3.2488734382e+16	1.9393079187e+16	2.3596566255e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	0         	2         	ok              	ok              	2.1540000000e-03	1.0368000000e+03	2.5208848515e+16	1.5047591311e+16	2.3596566171e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	0         	2         	ok              	ok              	1.6680000000e-03	1.0339000000e+03	1.9575812995e+16	1.1685136445e+16	2.3596566094e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	0         	2         	ok              	ok              	1.2920000000e-03	1.0307000000e+03	1.5210116237e+16	9.0791776634e+15	2.3596566024e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	0         	2         	ok              	ok              	1.0000000000e-03	1.0276000000e+03	1.1808050405e+16	7.0484265975e+15	2.3596565947e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	0         	2         	ok              	ok              	7.7430000000e-04	1.0245000000e+03	9.1706388121e+15	5.4741106723e+15	2.3596565867e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	0         	2         	ok              	ok              	5.9950000000e-04	1.0216000000e+03	7.1205016914e+15	4.2503488854e+15	2.3596565774e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	0         	2         	ok              	ok              	4.6420000000e-04	1.0185000000e+03	5.5302707246e+15	3.3011129153e+15	2.3596565687e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	0         	2         	ok              	ok              	3.5940000000e-04	1.0140000000e+03	4.3007322594e+15	2.5671804377e+15	2.3596565666e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	0         	2         	ok              	ok              	2.7830000000e-04	1.0081000000e+03	3.3497460313e+15	1.9995205343e+15	2.3596565715e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	0         	2         	ok              	ok              	2.1540000000e-04	1.0010000000e+03	2.6110423328e+15	1.5585756915e+15	2.3596565822e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
