P               	T               	m               	C               	H               	He              	N               	O               	P               	S               	Si              	Ti              	V               	CH              	HCN             	HNCO            	HCO             	CH2             	H2CO            	CH3             	CH4             	CN              	NCO             	CN2_cnn         	CN2_ncn         	CO              	CO2             	C2              	C2H             	C2H2            	C2H3            	C2H4            	C2H5            	C2H6            	C2H4O           	CH2OH           	CH3O            	CH3OH           	CH3CO           	H2CCO           	HCCO            	C2N             	C2N2            	CCO             	C3              	C3O2            	C4              	C4H2            	C4N2            	NH              	HNO             	HNO2            	HNO3            	OH              	HO2             	H2              	NH2             	N2H2            	H2O             	NH3             	N2H4            	NO              	NO2             	NO3             	N2              	N2O             	N2O3            	N2O4            	N2O5            	O2              	O3              	N2H             	N2H3            	CH3NH2          	CH3NH           	CH2NH           	CH2NH2          	H2CN            	C3H2            	C3H4            	CH2CCH2         	C3H5            	C3H7            	C3H8            	C4H             	C4H2            	C4H3            	C4H4            	C4H5            	C4H6            	C4H8            	C4H9            	C4H10           	CH2CN           	CH3CN           	CH3NO           	C3H3            	C3H6            	C2H3O           	CH3CHO          	C2H4OH          	H2O2            	HC3N            	C2H2CN          	C2H3CN          	H2NN            	TiO             	TiO2            	VO              
1.0000000000e+03	2.2865000000e+03	2.3593482792e+00	1.7304269570e-14	2.6121107692e-04	1.6234139172e-01	6.4796990461e-12	7.9082803324e-12	1.6750557452e-72	2.2081535236e-05	1.6750557452e-72	1.0727312426e-08	1.1159396215e-08	1.0548439455e-12	6.2939347034e-07	1.6144980839e-10	2.7669771724e-09	1.2827228813e-09	1.8161871511e-08	2.3800239911e-06	4.0853936156e-04	8.0148205037e-12	2.8646032862e-14	4.0109075691e-20	1.9064243540e-17	5.3273933110e-05	8.6216540121e-09	7.5529595673e-18	3.1056422945e-13	2.2595309511e-08	7.6582185483e-11	3.1975554144e-08	1.8302970910e-10	4.7857826707e-09	8.9517865714e-16	3.6454269919e-11	4.8613390028e-12	9.7384753783e-10	7.5310726990e-13	1.0388577355e-10	7.8382667310e-14	2.0913607576e-18	4.7258253089e-15	7.7715432191e-14	2.2417388522e-19	8.0913653156e-18	1.3940140223e-25	2.4834647671e-16	4.3671556406e-23	4.3085955127e-10	1.3633794095e-13	1.0612643048e-18	7.9335619317e-28	4.1319253327e-08	1.6134630261e-16	8.3573103838e-01	7.5250722414e-08	4.6419716797e-13	7.5174773988e-04	6.2201252290e-05	1.3631521115e-13	1.2454832228e-11	5.3727778374e-20	4.1041075691e-31	3.7095248318e-05	1.5055930518e-16	1.1004514836e-33	1.7922950162e-43	6.4076856120e-52	2.9729924924e-15	9.3821612551e-28	2.1346679392e-11	1.5870642504e-14	1.1178700179e-10	5.4650383112e-13	4.8686980734e-16	8.4144624514e-12	1.6190842232e-10	6.7221176651e-16	2.2104431761e-12	9.4609177088e-13	2.0595441501e-13	5.3879093203e-15	1.3942822001e-13	1.3481704404e-21	1.3091860675e-16	2.8045435115e-19	4.6927350856e-16	7.2930987765e-18	7.2848638456e-16	1.9562075271e-17	1.3528681255e-20	4.2523324431e-18	6.1136975592e-12	6.8712457714e-11	5.9180802600e-13	3.2472148428e-13	3.0272825089e-12	5.5683026880e-18	4.8535760606e-12	2.0978715641e-15	5.5860879242e-15	1.8565630163e-15	1.6274172986e-18	1.9458167877e-15	3.5927051829e-15	1.3503294110e-07	3.5292469098e-09	3.0976403935e-09
7.9280000000e+02	2.1563000000e+03	2.3594886238e+00	2.2148123116e-15	1.4236604937e-04	1.6235104916e-01	1.6099581621e-12	2.0156482674e-12	1.6751553917e-72	2.2082848833e-05	1.6751553917e-72	6.1657663222e-09	1.0036037044e-08	1.7833616469e-13	4.1954742010e-07	1.0915512515e-10	1.2630601731e-09	3.7851620489e-10	1.2001080957e-08	1.3680124604e-06	4.1891456905e-04	2.2935731268e-12	9.6678260849e-15	5.3936700060e-21	3.9150601138e-18	4.4203270030e-05	7.8417910990e-09	6.8007251970e-19	5.7170513440e-14	1.0903603843e-08	2.7040177937e-11	2.2022037003e-08	9.1636572986e-11	4.0642252267e-09	3.8539162378e-16	1.6118973857e-11	1.8767006318e-12	6.9412650436e-10	3.1479722133e-13	5.5593896293e-11	2.2792101210e-14	2.6621860918e-19	1.7635300065e-15	1.4592715888e-14	2.0327114425e-20	2.7447130683e-18	6.4706823009e-27	5.7397011909e-17	7.8830506306e-24	1.4104114249e-10	4.5489398056e-14	2.8328466361e-19	1.1265742996e-28	1.8918322712e-08	3.6584739087e-17	8.3581575943e-01	3.7971729861e-08	1.9177191192e-13	7.6089089447e-04	5.9763020704e-05	6.6123302438e-14	4.8482338334e-12	1.1341238638e-20	3.4084981391e-32	3.8442277108e-05	5.3310631444e-17	7.7667050061e-35	7.0905641037e-45	1.1410318000e-53	7.7693544426e-16	6.9075039093e-29	8.9125094359e-12	5.7301954782e-15	7.8045604538e-11	2.2546106037e-13	1.2356937086e-16	3.8171459692e-12	6.9819783750e-11	1.4132908420e-16	9.7970826299e-13	4.0972216244e-13	8.5667032502e-14	2.2357233013e-15	9.8835789524e-14	1.2446752287e-22	2.9272116578e-17	4.3899105507e-20	1.4842968274e-16	1.8402336065e-18	3.2719789353e-16	1.0255759817e-17	4.7195718375e-21	2.5051068983e-18	2.4215508401e-12	4.4115506361e-11	3.9899281347e-13	9.3575339671e-14	1.8183361103e-12	1.3532909787e-18	3.0315559871e-12	7.4379361460e-16	1.8097008657e-15	5.7034974181e-16	3.6564225462e-19	8.9367448421e-16	1.1485612145e-15	1.3807199957e-07	5.0606155511e-09	4.2218476936e-09
6.2850000000e+02	2.0318000000e+03	2.3595698939e+00	2.3217263536e-16	7.3547022296e-05	1.6235664153e-01	3.5476097179e-13	4.5531691872e-13	1.6752130944e-72	2.2083609502e-05	1.6752130944e-72	3.3377109340e-09	8.6035802444e-09	2.5452455368e-14	2.6286854942e-07	6.9444982709e-11	5.2435010409e-10	9.9172336546e-11	7.4957086670e-09	7.4166752215e-07	4.2937364107e-04	5.7262932682e-13	2.8870245030e-15	6.0011892981e-22	6.8699490144e-19	3.4579531269e-05	6.7880120942e-09	4.7538924937e-20	8.7260652675e-15	4.7397221063e-09	8.4668588376e-12	1.4306083074e-08	4.2631403545e-11	3.3745504016e-09	1.5135609573e-16	6.5873842148e-12	6.6496677767e-13	4.7955272906e-10	1.1852369447e-13	2.7006268201e-11	5.6863955604e-15	2.7118916424e-20	5.7450902834e-16	2.2768602215e-15	1.3920613979e-21	7.8280012361e-19	2.1146673512e-28	1.0754021238e-17	1.1186974961e-24	4.2144727852e-11	1.3925281462e-14	6.8106100716e-20	1.3754615666e-29	8.0868122239e-09	7.3500045519e-18	8.3585221128e-01	1.8243661276e-08	7.4897316566e-14	7.7055423131e-04	5.7962000125e-05	3.1174580075e-14	1.7298839687e-12	2.0972156310e-21	2.3142287147e-33	3.9433474475e-05	1.7267960327e-17	4.4401133697e-36	2.1801131539e-46	1.4867909608e-55	1.8017571632e-16	4.1243716718e-30	3.4691488686e-12	1.9476156222e-15	5.3465588226e-11	8.6871266953e-14	2.7926739889e-17	1.6282252325e-12	2.7623831356e-11	2.4465462740e-17	3.8654453866e-13	1.5770793389e-13	3.1920644801e-14	8.4617185837e-16	6.7283312790e-14	8.5940941653e-24	5.2926598494e-18	5.4563568575e-21	3.9739462173e-17	3.9027847564e-19	1.3030192447e-16	4.9257041971e-18	1.4779944494e-21	1.3918699271e-18	8.5342126061e-13	2.6415981514e-11	2.5860278789e-13	2.2992838068e-14	1.0150955227e-12	2.8416165839e-19	1.7742222227e-12	2.3884226779e-16	5.3865469751e-16	1.4781376847e-16	6.8178174344e-20	3.6343023490e-16	3.3898409720e-16	1.3865609015e-07	7.3097231113e-09	5.6547956229e-09
4.9830000000e+02	1.9131000000e+03	2.3596143137e+00	1.9676736334e-17	3.5910785833e-05	1.6235969998e-01	6.8916128198e-14	9.0442531559e-14	1.6752446518e-72	2.2084025510e-05	1.6752446518e-72	1.7017675311e-09	6.9247002507e-09	3.0322463865e-15	1.5410495904e-07	4.1343547927e-11	1.9635003023e-10	2.2878695921e-11	4.3988756848e-09	3.7739464526e-07	4.3911564539e-04	1.2362173225e-13	7.5599890231e-16	5.4650651689e-23	1.0207748288e-19	2.5342699394e-05	5.5539106706e-09	2.5343164685e-21	1.0890708508e-15	1.8387382604e-09	2.3274324169e-12	8.7088059860e-09	1.8295222592e-11	2.7275464763e-09	5.3717447528e-17	2.4705172527e-12	2.1467355653e-13	3.1971126762e-10	3.9787844746e-14	1.1791084332e-11	1.2013451838e-15	2.1773228309e-21	1.6181154466e-16	2.9090416585e-16	7.0493223061e-23	1.8452148986e-19	4.7372678606e-30	1.6034234908e-18	1.2247268436e-25	1.1444917489e-11	3.8899413651e-15	1.4641104710e-20	1.4284806916e-30	3.2111754480e-09	1.2965330322e-18	8.3586040900e-01	8.3285754538e-09	2.7609005564e-14	7.7981019037e-04	5.6815615907e-05	1.4286871449e-14	5.6275523950e-13	3.3671776017e-22	1.2671176129e-34	4.0067354352e-05	5.0929523056e-18	2.0286596054e-37	5.1235803699e-48	1.3880665049e-57	3.6747022953e-17	1.9653340370e-31	1.2557979802e-12	6.2202877750e-16	3.5876866252e-11	3.1118552480e-14	5.5789260075e-18	6.5029285784e-13	9.9695405518e-12	3.4317159447e-18	1.3421488414e-13	5.3335168186e-14	1.0538787358e-14	2.8925628835e-16	4.3688166032e-14	4.3363373849e-25	7.5953486076e-19	5.2804893266e-22	8.8627121122e-18	6.8450968602e-20	4.5401443479e-17	2.1432797951e-18	4.1042598194e-22	7.2262505016e-19	2.6517250623e-13	1.4656528245e-11	1.6046093905e-13	4.7507170596e-15	5.2202759231e-13	5.0909165045e-20	9.6521815879e-13	6.8789339935e-17	1.4629323228e-16	3.1868057332e-17	1.0394460310e-20	1.2940467690e-16	9.2092188183e-17	1.3694930940e-07	1.0655259817e-08	7.3339442138e-09
3.9500000000e+02	1.8055000000e+03	2.3596363448e+00	1.5563948634e-18	1.7272173739e-05	1.6236121465e-01	1.2916903058e-14	1.7290961821e-14	1.6752602803e-72	2.2084231533e-05	1.6752602803e-72	8.4555992692e-10	5.2483911685e-09	3.4026362955e-16	8.7969402015e-08	2.3923190740e-11	7.0648293399e-11	5.0466471867e-12	2.5122762619e-09	1.8712402973e-07	4.4669626774e-04	2.5374261911e-14	1.8887905312e-16	4.6636901383e-24	1.4353236915e-20	1.8036785029e-05	4.4229796030e-09	1.2291676875e-22	1.2640929904e-16	6.8058477470e-10	6.0717794314e-13	5.1336717336e-09	7.5698847966e-12	2.1613235074e-09	1.8262401141e-17	8.9512515622e-13	6.6970769272e-14	2.0921994111e-10	1.2733186876e-14	4.9122263731e-12	2.3788654002e-16	1.6071999676e-22	4.3096786828e-17	3.4740280857e-17	3.1890547888e-24	4.0165796632e-20	9.2408566931e-32	2.1757745668e-19	1.2095552092e-26	3.0226326059e-12	1.0580420641e-15	3.0395443838e-21	1.4111610444e-31	1.2455121349e-09	2.1948915233e-19	8.3585682813e-01	3.7459168611e-09	1.0040978422e-14	7.8712299288e-04	5.5871453522e-05	6.5056219165e-15	1.7786638415e-13	5.1728802350e-23	6.4950528259e-36	4.0575461266e-05	1.4610610218e-18	8.6558742434e-39	1.1100821390e-49	1.1706526668e-59	7.1955676611e-18	8.7472442138e-33	4.4497761179e-13	1.9537637740e-16	2.3811327387e-11	1.0856933270e-14	1.0684871620e-18	2.5338783964e-13	3.4779152927e-12	4.4290516869e-19	4.4011969494e-14	1.7030017775e-14	3.2975272922e-15	9.4241916074e-17	2.7500238555e-14	1.9403235303e-26	9.9126036405e-20	4.6212024128e-23	1.8242372004e-18	1.1067603272e-20	1.4825586960e-17	8.8475199367e-19	1.0754991405e-22	3.5967491623e-19	7.8335285442e-14	7.8496548867e-12	9.7639803845e-14	9.1418459785e-16	2.5726505295e-13	8.5820355392e-21	5.0661259123e-13	1.8920021721e-17	3.8566326382e-17	6.3764796232e-18	1.4618383818e-21	4.3390483520e-17	2.4440676672e-17	1.3309586448e-07	1.5366305242e-08	9.0103863160e-09
3.1320000000e+02	1.7243000000e+03	2.3596454736e+00	1.9873776828e-19	9.5467807742e-06	1.6236184247e-01	3.2713314635e-15	4.4833679632e-15	1.6752667582e-72	2.2084316928e-05	1.6752667582e-72	4.6642346868e-10	4.0022267512e-09	5.7147223117e-17	5.7144716643e-08	1.5676327519e-11	3.1370876550e-11	1.4643668263e-12	1.6134987031e-09	1.0504190334e-07	4.5041429106e-04	7.1248952241e-15	6.2437490228e-17	6.2298870179e-25	2.9126447228e-21	1.4440125456e-05	3.8858754944e-09	1.0712753568e-23	2.2491904456e-17	3.1390799051e-10	2.0496993330e-13	3.3700476175e-09	3.6271848133e-12	1.7531755216e-09	7.5530134905e-18	3.8531110507e-13	2.5490688266e-14	1.4518897514e-10	5.0962975486e-15	2.4946642721e-12	6.5992592074e-17	1.9741982508e-23	1.5375021873e-17	6.4729646886e-18	2.6938048975e-25	1.2631438608e-20	3.9862572700e-33	4.5920455124e-20	1.9932688816e-27	1.0003992567e-12	3.5856492505e-16	8.1909614951e-22	2.0389768393e-32	5.7251026680e-10	5.0284501525e-20	8.3585650052e-01	1.9003883402e-09	4.2371702279e-15	7.9071876000e-04	5.3568964241e-05	3.1881339189e-15	6.9520676286e-14	1.1030156182e-23	5.5175502563e-37	4.1743317968e-05	5.2238206985e-19	6.2477759164e-40	4.5392294725e-51	2.1672931770e-61	1.8972058718e-18	6.6674970511e-34	1.8655910655e-13	7.1446336862e-17	1.6322451086e-11	4.4245131013e-15	2.6820156420e-19	1.1323288184e-13	1.4682432279e-12	8.6948085666e-20	1.8208564245e-14	6.8914536413e-15	1.2893242738e-15	3.6723562331e-17	1.8276731999e-14	1.6460361143e-27	2.0249636602e-20	6.6299250800e-24	5.2609742893e-19	2.5618815498e-21	6.0679282720e-18	4.2537774854e-19	3.4716747701e-23	1.9512606779e-19	2.9633523867e-14	4.7998093194e-12	6.4429348641e-14	2.4643947734e-16	1.4439539486e-13	2.0075837213e-21	3.0111230756e-13	6.4259781843e-18	1.2568445513e-17	1.8255240577e-18	3.0543950608e-22	1.8433200978e-17	7.9026656776e-18	1.2828828102e-07	2.0553602499e-08	1.0256605869e-08
2.4830000000e+02	1.6625000000e+03	2.3596496967e+00	3.9119081330e-20	5.9722504063e-06	1.6236213296e-01	1.0826254749e-15	1.5281606513e-15	1.6752697555e-72	2.2084356441e-05	1.6752697555e-72	2.8292780613e-10	3.1264011351e-09	1.3825605853e-17	4.1814501758e-08	1.1537087688e-11	1.6921389329e-11	5.4545847551e-13	1.1577873555e-09	6.6175701661e-08	4.5197913905e-04	2.6578076244e-15	2.6638797495e-17	1.2445303762e-25	8.2205225288e-22	1.2933644496e-05	3.7564460438e-09	1.5921771941e-24	5.9161044636e-18	1.7784067304e-10	8.7898824617e-14	2.4560078102e-09	1.9973329250e-12	1.4628510285e-09	3.7552981733e-18	1.9461462141e-13	1.1646487785e-14	1.0673019114e-10	2.5150000341e-15	1.5281315769e-12	2.5014025801e-17	3.8546946641e-24	7.1700706583e-18	1.8091903357e-18	4.0380839447e-26	5.6115465701e-21	3.5602139754e-34	1.4644144393e-20	5.2729860743e-28	4.0457564273e-13	1.4779587863e-16	2.7892829780e-22	4.1451492008e-33	3.0676581200e-10	1.5135104560e-20	8.3586038395e-01	1.0720991109e-09	2.0334175055e-15	7.9222138836e-04	5.0129663603e-05	1.6616386844e-15	3.2866535258e-14	3.1569128012e-24	7.3761649979e-38	4.3471176230e-05	2.2702821122e-19	7.2179766139e-41	3.2776992876e-52	8.1188841692e-63	6.5443933542e-19	8.2429084467e-35	9.0681933750e-14	2.9820106371e-17	1.1535421095e-11	2.0754979547e-15	8.5942666858e-20	5.7308442761e-14	7.3740047278e-13	2.5180330192e-20	9.3911353212e-15	3.4902959849e-15	6.2254843538e-16	1.6984287456e-17	1.2888337784e-14	2.5197346860e-28	6.2860006066e-21	1.5059803982e-24	2.0867158408e-19	8.3090798803e-22	3.0893581035e-18	2.3793824851e-19	1.3697522540e-23	1.1594298017e-19	1.4090156643e-14	3.3277955684e-12	4.5868010039e-14	9.0984206514e-17	9.2112455762e-14	6.3545368647e-22	2.0191223398e-13	2.6593676888e-18	4.9620329569e-18	7.2892805742e-19	9.2070670678e-23	9.7942857247e-18	3.0388499333e-18	1.2318887284e-07	2.5836773472e-08	1.1132456997e-08
1.9680000000e+02	1.6025000000e+03	2.3596524491e+00	7.0089186162e-21	3.6427346602e-06	1.6236232227e-01	3.3817028137e-16	4.9186821979e-16	1.6752717089e-72	2.2084382191e-05	1.6752717089e-72	1.6585474665e-10	2.3686737940e-09	3.0881082100e-18	2.9725810969e-08	8.2555739826e-12	8.7360238892e-12	1.9217336369e-13	8.0984193336e-10	4.0582936090e-08	4.5367198745e-04	9.2936927955e-16	1.0731866040e-17	2.2716240670e-26	2.1528656446e-22	1.1281714387e-05	3.5533190989e-09	2.1018760186e-25	1.4265303759e-18	9.6079823630e-11	3.5671921952e-14	1.7444197028e-09	1.0640934061e-12	1.2098654555e-09	1.7912710492e-18	9.4789707131e-14	5.1148181031e-15	7.7377703706e-11	1.1837768507e-15	8.9622318716e-13	8.8373697870e-18	6.7809754784e-25	3.1385125460e-18	4.6430232888e-19	5.3136612429e-27	2.3052470673e-21	2.7018238330e-35	4.2463235691e-21	1.2487530092e-28	1.5653641335e-13	5.8406267260e-17	9.0340854068e-23	7.8421049161e-34	1.5909368225e-10	4.3002106978e-21	8.3586212297e-01	5.9030400973e-10	9.4844443755e-16	7.9386772594e-04	4.7075348360e-05	8.5296851719e-16	1.4900943073e-14	8.4805438155e-25	8.9580478786e-39	4.5004703348e-05	9.4477051617e-20	7.5374865329e-42	2.0981867217e-53	2.6200965045e-64	2.1331691696e-19	9.2102965475e-36	4.2575694674e-14	1.2072168042e-17	8.0804836423e-12	9.4255383607e-16	2.6062338486e-20	2.8169482006e-14	3.5561894417e-13	6.6704587730e-21	4.5977812384e-15	1.6768624889e-15	2.8619396138e-16	7.5408668299e-18	8.9418191974e-15	3.3746152731e-29	1.7721700106e-21	3.0790574372e-25	7.6797160863e-20	2.4922283281e-22	1.4916707611e-18	1.2820139962e-19	5.1530391225e-24	6.7274847666e-20	6.3484558809e-15	2.2355444608e-12	3.2063295306e-14	3.1244041635e-17	5.6926176027e-14	1.8803623707e-22	1.3157103691e-13	1.0521290462e-18	1.8816453100e-18	2.6924415138e-19	2.5466970961e-23	4.9247373635e-18	1.1231747549e-18	1.1669846139e-07	3.2444432083e-08	1.1890200963e-08
1.5610000000e+02	1.5661000000e+03	2.3596534896e+00	2.7157364423e-21	2.7613307883e-06	1.6236239390e-01	1.6906514894e-16	2.5677831366e-16	1.6752724480e-72	2.2084391934e-05	1.6752724480e-72	1.1707609417e-10	1.9676834798e-09	1.3236232384e-18	2.6165204872e-08	7.2819294132e-12	6.4081457412e-12	1.0602140263e-13	6.9351741905e-10	3.0712027770e-08	4.5288318079e-04	5.3950954281e-16	6.8130259293e-18	8.4568088119e-27	1.0112463018e-22	1.2084663097e-05	4.0033034337e-09	7.2246314183e-26	6.9406196015e-19	7.5440483395e-11	2.2356880391e-14	1.5052948424e-09	7.3239328249e-13	1.0612893214e-09	1.1940801894e-18	6.1709280187e-14	3.1170701459e-15	6.2485645884e-11	8.1493359634e-16	7.4032427462e-13	5.4866107476e-18	2.7329058847e-25	2.2173877071e-18	2.4489813813e-19	1.9681295950e-27	1.7720345794e-21	7.5911894783e-36	2.6071191074e-21	6.9340642768e-29	8.6197078933e-14	3.2543790085e-17	4.4191795430e-23	2.7086314393e-34	1.0835255210e-10	1.9837437265e-21	8.3587253770e-01	3.9158484551e-10	5.5129849098e-16	7.9305916926e-04	4.2274937866e-05	4.8572513078e-16	9.4469481905e-15	3.8306961349e-25	2.4226248137e-39	4.7406820338e-05	5.5245760270e-20	1.8020799898e-42	3.6544671314e-54	2.9297923770e-65	1.1200708258e-19	2.4226262223e-36	2.5871250266e-14	6.1455625905e-18	5.9838139314e-12	5.5004002441e-16	1.2212923150e-20	1.7296648345e-14	2.3401889826e-13	3.5748996737e-21	3.3734855315e-15	1.2155586954e-15	1.9362674572e-16	4.5962058335e-18	6.9756180885e-15	1.3121138477e-29	1.0685312966e-21	1.4488398384e-25	5.0656882016e-20	1.3835518293e-22	1.0800025786e-18	9.1829449092e-20	2.8115598059e-24	4.6584785298e-20	4.3207958404e-15	1.8891627364e-12	2.5681284137e-14	1.9003372865e-17	4.4724329388e-14	9.5991624646e-23	1.0719318548e-13	5.9667582511e-19	1.0034992713e-18	1.8148026338e-19	1.3672184941e-23	3.7297892088e-18	5.6167972889e-19	1.1195161142e-07	3.7240126577e-08	1.2291197568e-08
1.2370000000e+02	1.5556000000e+03	2.3596534861e+00	2.8142818303e-21	2.7603412880e-06	1.6236239399e-01	1.5325735124e-16	2.4793498875e-16	1.6752724488e-72	2.2084391946e-05	1.6752724488e-72	1.0620656473e-10	1.8694013695e-09	1.3022831014e-18	3.0146002962e-08	8.3472201104e-12	7.3540219312e-12	1.0359671226e-13	7.6786238998e-10	3.0373546732e-08	4.4811825326e-04	5.9610941188e-16	7.6870143819e-18	7.7432253273e-27	9.9214716710e-23	1.6844014551e-05	5.6323523168e-09	8.4240579919e-26	8.2683338094e-19	9.5462435917e-11	2.4377043233e-14	1.6631136301e-09	6.9711573075e-13	1.0003479805e-09	1.2149767509e-18	5.8026796488e-14	2.8743787881e-15	5.7719396675e-11	9.0857033489e-16	9.4561986569e-13	6.9870676201e-18	3.1592554763e-25	2.8638943908e-18	3.2256352276e-19	2.7357885341e-27	3.0258284793e-21	1.1335487609e-35	4.1694586123e-21	1.1335753539e-28	7.4088652647e-14	2.7911983362e-17	3.6256290686e-23	1.9926088051e-34	1.0431633752e-10	1.6914039844e-21	8.3589673161e-01	3.2775947659e-10	4.1957343264e-16	7.8829499254e-04	3.5673221423e-05	3.1190695662e-16	9.1372506819e-15	3.3310745293e-25	1.7986137136e-39	5.0705720104e-05	4.9329809010e-20	1.2195962764e-42	2.2384115254e-54	1.5641734340e-65	1.0771521046e-19	1.8864681530e-36	2.1651040622e-14	4.1426704709e-18	4.7203921963e-12	4.3874061141e-16	9.9051400497e-21	1.4006670193e-14	2.2785498143e-13	4.7086870521e-21	4.1415871171e-15	1.4869863846e-15	2.1382154426e-16	4.1772987728e-18	6.2861697535e-15	1.9882605276e-29	1.6996872047e-21	1.9726072804e-25	7.0258727997e-20	1.6798214874e-22	1.3073860110e-18	9.4079002783e-20	2.4478239414e-24	4.0113562431e-20	4.9549716359e-15	2.1287555847e-12	2.4287201617e-14	2.3947551397e-17	4.7572692897e-14	9.7920566568e-23	1.1576514150e-13	5.3313580403e-19	8.2307678115e-19	2.6261859949e-19	1.7036809586e-23	4.7434383679e-18	4.0875172500e-19	1.1061388339e-07	3.8588724213e-08	1.2389479686e-08
