T(K)   P(dyne/cm2)          H         H2          C          N         C2          O        H2O         OH         CO        CO2        CH4       C2H2        NH3         N2        HCN         Fe        Fe+
3766.9  1.000E+09   2.983E-02   8.262E-01   3.389E-08   1.443E-07   9.472E-11   1.817E-07   4.651E-04   9.438E-06   3.492E-04   2.275E-08   4.328E-05   1.240E-06   2.172E-05   4.021E-05   7.092E-06   5.319E-05   4.347E-09
3766.9  8.702E+08   3.194E-02   8.243E-01   3.663E-08   1.574E-07   9.631E-11   2.017E-07   4.484E-04   9.765E-06   3.647E-04   2.296E-08   3.496E-05   1.094E-06   1.918E-05   4.166E-05   6.782E-06   5.314E-05   4.607E-09
3766.9  7.572E+08   3.420E-02   8.222E-01   3.921E-08   1.715E-07   9.601E-11   2.247E-07   4.335E-04   1.013E-05   3.783E-04   2.308E-08   2.798E-05   9.470E-07   1.689E-05   4.300E-05   6.410E-06   5.307E-05   4.889E-09
3766.9  6.589E+08   3.661E-02   8.200E-01   4.158E-08   1.864E-07   9.395E-11   2.510E-07   4.203E-04   1.055E-05   3.901E-04   2.314E-08   2.222E-05   8.042E-07   1.485E-05   4.425E-05   5.992E-06   5.301E-05   5.193E-09
3766.9  5.733E+08   3.919E-02   8.177E-01   4.372E-08   2.024E-07   9.037E-11   2.814E-07   4.088E-04   1.101E-05   4.000E-04   2.315E-08   1.750E-05   6.711E-07   1.303E-05   4.538E-05   5.544E-06   5.294E-05   5.521E-09
3766.9  4.989E+08   4.195E-02   8.151E-01   4.560E-08   2.195E-07   8.559E-11   3.164E-07   3.988E-04   1.153E-05   4.084E-04   2.312E-08   1.369E-05   5.514E-07   1.141E-05   4.642E-05   5.082E-06   5.286E-05   5.875E-09
3766.9  4.341E+08   4.490E-02   8.124E-01   4.725E-08   2.376E-07   7.993E-11   3.569E-07   3.901E-04   1.212E-05   4.152E-04   2.307E-08   1.064E-05   4.466E-07   9.979E-06   4.735E-05   4.619E-06   5.278E-05   6.258E-09
3766.9  3.777E+08   4.805E-02   8.095E-01   4.865E-08   2.570E-07   7.373E-11   4.037E-07   3.826E-04   1.276E-05   4.208E-04   2.301E-08   8.219E-06   3.571E-07   8.712E-06   4.819E-05   4.167E-06   5.269E-05   6.671E-09
3766.9  3.287E+08   5.141E-02   8.064E-01   4.982E-08   2.776E-07   6.730E-11   4.577E-07   3.760E-04   1.347E-05   4.252E-04   2.294E-08   6.320E-06   2.826E-07   7.596E-06   4.893E-05   3.735E-06   5.260E-05   7.117E-09
3766.9  2.860E+08   5.500E-02   8.031E-01   5.079E-08   2.996E-07   6.087E-11   5.202E-07   3.703E-04   1.425E-05   4.286E-04   2.287E-08   4.836E-06   2.215E-07   6.612E-06   4.958E-05   3.329E-06   5.250E-05   7.600E-09
3766.9  2.489E+08   5.882E-02   7.996E-01   5.159E-08   3.229E-07   5.463E-11   5.921E-07   3.652E-04   1.510E-05   4.312E-04   2.279E-08   3.688E-06   1.722E-07   5.749E-06   5.015E-05   2.952E-06   5.240E-05   8.122E-09
3766.9  2.166E+08   6.291E-02   7.958E-01   5.222E-08   3.479E-07   4.872E-11   6.750E-07   3.606E-04   1.602E-05   4.331E-04   2.271E-08   2.802E-06   1.330E-07   4.992E-06   5.063E-05   2.607E-06   5.229E-05   8.685E-09
3766.9  1.884E+08   6.728E-02   7.918E-01   5.273E-08   3.745E-07   4.320E-11   7.710E-07   3.564E-04   1.702E-05   4.344E-04   2.263E-08   2.120E-06   1.021E-07   4.326E-06   5.105E-05   2.293E-06   5.217E-05   9.297E-09
