(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.000E+09  2286.5  0.00E+00  4.09E-04  5.33E-05  7.52E-04  8.62E-09  8.36E-01  1.62E-01  2.26E-08  3.71E-05  6.22E-05  6.29E-07
8.083E+08  2167.0  8.01E+06  4.18E-04  4.50E-05  7.60E-04  7.92E-09  8.36E-01  1.62E-01  1.16E-08  3.83E-05  5.99E-05  4.35E-07
6.533E+08  2052.2  1.56E+07  4.28E-04  3.62E-05  7.69E-04  6.98E-09  8.36E-01  1.62E-01  5.49E-09  3.93E-05  5.82E-05  2.86E-07
5.281E+08  1942.1  2.28E+07  4.37E-04  2.75E-05  7.78E-04  5.87E-09  8.36E-01  1.62E-01  2.35E-09  3.99E-05  5.71E-05  1.77E-07
4.268E+08  1839.5  2.96E+07  4.45E-04  2.02E-05  7.85E-04  4.76E-09  8.36E-01  1.62E-01  9.43E-10  4.04E-05  5.62E-05  1.06E-07
3.450E+08  1754.2  3.60E+07  4.49E-04  1.55E-05  7.90E-04  4.02E-09  8.36E-01  1.62E-01  4.14E-10  4.11E-05  5.48E-05  6.66E-08
2.789E+08  1692.7  4.22E+07  4.51E-04  1.37E-05  7.92E-04  3.82E-09  8.36E-01  1.62E-01  2.36E-10  4.26E-05  5.18E-05  4.88E-08
2.254E+08  1636.7  4.81E+07  4.53E-04  1.22E-05  7.93E-04  3.66E-09  8.36E-01  1.62E-01  1.37E-10  4.41E-05  4.89E-05  3.62E-08
1.822E+08  1586.0  5.38E+07  4.54E-04  1.11E-05  7.94E-04  3.56E-09  8.36E-01  1.62E-01  8.20E-11  4.56E-05  4.58E-05  2.72E-08
1.473E+08  1561.8  5.94E+07  4.52E-04  1.29E-05  7.92E-04  4.30E-09  8.36E-01  1.62E-01  7.75E-11  4.82E-05  4.07E-05  2.66E-08
1.190E+08  1554.0  6.49E+07  4.47E-04  1.78E-05  7.87E-04  5.96E-09  8.36E-01  1.62E-01  9.95E-11  5.12E-05  3.46E-05  3.09E-08
9.620E+07  1542.1  7.03E+07  4.42E-04  2.34E-05  7.82E-04  7.91E-09  8.36E-01  1.62E-01  1.17E-10  5.37E-05  2.97E-05  3.39E-08
7.776E+07  1531.6  7.57E+07  4.34E-04  3.09E-05  7.74E-04  1.05E-08  8.36E-01  1.62E-01  1.39E-10  5.59E-05  2.52E-05  3.74E-08
6.285E+07  1525.8  8.11E+07  4.23E-04  4.24E-05  7.63E-04  1.43E-08  8.36E-01  1.62E-01  1.79E-10  5.80E-05  2.11E-05  4.29E-08
5.080E+07  1518.9  8.64E+07  4.08E-04  5.67E-05  7.48E-04  1.90E-08  8.36E-01  1.62E-01  2.21E-10  5.97E-05  1.77E-05  4.81E-08
4.106E+07  1517.8  9.17E+07  3.86E-04  7.87E-05  7.26E-04  2.57E-08  8.36E-01  1.62E-01  2.96E-10  6.13E-05  1.45E-05  5.63E-08
3.319E+07  1524.8  9.71E+07  3.52E-04  1.13E-04  6.92E-04  3.48E-08  8.36E-01  1.62E-01  4.35E-10  6.27E-05  1.16E-05  6.95E-08
