(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.118E+09  2352.0  0.00E+00  4.04E-04  5.75E-05  7.47E-04  8.87E-09  8.36E-01  1.62E-01  3.16E-08  3.63E-05  6.33E-05  8.93E-07
1.064E+09  2323.0  1.81E+06  4.05E-04  5.58E-05  7.48E-04  8.77E-09  8.36E-01  1.62E-01  2.75E-08  3.66E-05  6.27E-05  8.30E-07
1.011E+09  2293.0  3.80E+06  4.08E-04  5.38E-05  7.50E-04  8.62E-09  8.36E-01  1.62E-01  2.37E-08  3.69E-05  6.21E-05  7.65E-07
9.616E+08  2264.0  5.66E+06  4.10E-04  5.19E-05  7.52E-04  8.48E-09  8.37E-01  1.62E-01  2.04E-08  3.72E-05  6.16E-05  7.05E-07
9.148E+08  2236.0  7.42E+06  4.12E-04  5.01E-05  7.54E-04  8.33E-09  8.36E-01  1.62E-01  1.75E-08  3.76E-05  6.10E-05  6.50E-07
8.697E+08  2207.0  9.30E+06  4.15E-04  4.80E-05  7.56E-04  8.14E-09  8.36E-01  1.62E-01  1.49E-08  3.79E-05  6.05E-05  5.95E-07
8.272E+08  2180.0  1.12E+07  4.17E-04  4.61E-05  7.58E-04  7.98E-09  8.36E-01  1.62E-01  1.28E-08  3.82E-05  5.99E-05  5.47E-07
7.866E+08  2152.0  1.30E+07  4.19E-04  4.40E-05  7.60E-04  7.78E-09  8.36E-01  1.62E-01  1.08E-08  3.84E-05  5.95E-05  4.98E-07
7.480E+08  2125.0  1.47E+07  4.22E-04  4.20E-05  7.62E-04  7.58E-09  8.36E-01  1.62E-01  9.09E-09  3.87E-05  5.90E-05  4.55E-07
7.112E+08  2098.0  1.64E+07  4.24E-04  3.99E-05  7.64E-04  7.37E-09  8.36E-01  1.62E-01  7.63E-09  3.89E-05  5.86E-05  4.13E-07
6.763E+08  2071.0  1.82E+07  4.26E-04  3.78E-05  7.66E-04  7.13E-09  8.36E-01  1.62E-01  6.35E-09  3.91E-05  5.82E-05  3.74E-07
6.433E+08  2044.0  1.99E+07  4.28E-04  3.56E-05  7.68E-04  6.88E-09  8.36E-01  1.62E-01  5.24E-09  3.93E-05  5.79E-05  3.36E-07
6.117E+08  2018.0  2.15E+07  4.31E-04  3.36E-05  7.70E-04  6.63E-09  8.37E-01  1.62E-01  4.34E-09  3.94E-05  5.76E-05  3.03E-07
5.818E+08  1992.0  2.31E+07  4.33E-04  3.15E-05  7.73E-04  6.38E-09  8.36E-01  1.62E-01  3.56E-09  3.96E-05  5.73E-05  2.72E-07
5.533E+08  1966.0  2.48E+07  4.35E-04  2.95E-05  7.75E-04  6.11E-09  8.37E-01  1.62E-01  2.90E-09  3.97E-05  5.71E-05  2.43E-07
5.259E+08  1940.0  2.65E+07  4.37E-04  2.74E-05  7.77E-04  5.82E-09  8.37E-01  1.62E-01  2.34E-09  3.99E-05  5.69E-05  2.16E-07
5.001E+08  1915.0  2.81E+07  4.39E-04  2.55E-05  7.79E-04  5.55E-09  8.37E-01  1.62E-01  1.89E-09  4.00E-05  5.67E-05  1.92E-07
4.756E+08  1890.0  2.95E+07  4.41E-04  2.37E-05  7.81E-04  5.28E-09  8.37E-01  1.62E-01  1.52E-09  4.01E-05  5.65E-05  1.70E-07
4.523E+08  1866.0  3.12E+07  4.43E-04  2.20E-05  7.82E-04  5.02E-09  8.37E-01  1.62E-01  1.22E-09  4.02E-05  5.63E-05  1.51E-07
4.302E+08  1843.0  3.27E+07  4.44E-04  2.04E-05  7.84E-04  4.78E-09  8.36E-01  1.62E-01  9.85E-10  4.03E-05  5.61E-05  1.34E-07
4.092E+08  1821.0  3.42E+07  4.46E-04  1.90E-05  7.85E-04  4.56E-09  8.37E-01  1.62E-01  8.00E-10  4.04E-05  5.60E-05  1.20E-07
3.891E+08  1799.0  3.57E+07  4.47E-04  1.77E-05  7.87E-04  4.34E-09  8.37E-01  1.62E-01  6.44E-10  4.05E-05  5.58E-05  1.06E-07
3.701E+08  1779.0  3.72E+07  4.48E-04  1.66E-05  7.88E-04  4.17E-09  8.36E-01  1.62E-01  5.30E-10  4.06E-05  5.56E-05  9.56E-08
3.520E+08  1761.0  3.87E+07  4.49E-04  1.58E-05  7.89E-04  4.04E-09  8.36E-01  1.62E-01  4.46E-10  4.07E-05  5.54E-05  8.75E-08
3.346E+08  1744.0  4.01E+07  4.50E-04  1.51E-05  7.89E-04  3.94E-09  8.37E-01  1.62E-01  3.79E-10  4.08E-05  5.52E-05  8.06E-08
3.184E+08  1729.0  4.15E+07  4.50E-04  1.46E-05  7.89E-04  3.88E-09  8.37E-01  1.62E-01  3.30E-10  4.08E-05  5.51E-05  7.56E-08
