(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.017E+09  2286.5  0.00E+00  3.92E-04  5.67E-05  7.53E-04  9.30E-09  8.36E-01  1.62E-01  2.98E-08  3.64E-05  6.31E-05  5.85E-07
9.743E+08  2270.8  4.40E+06  3.92E-04  5.61E-05  7.53E-04  9.31E-09  8.36E-01  1.62E-01  2.73E-08  3.68E-05  6.23E-05  5.57E-07
9.248E+08  2240.3  8.80E+06  3.92E-04  5.70E-05  7.53E-04  9.53E-09  8.36E-01  1.62E-01  2.59E-08  3.75E-05  6.09E-05  5.43E-07
8.826E+08  2214.4  1.32E+07  3.92E-04  5.67E-05  7.53E-04  9.60E-09  8.36E-01  1.62E-01  2.38E-08  3.80E-05  5.99E-05  5.19E-07
8.505E+08  2194.7  1.76E+07  3.94E-04  5.47E-05  7.55E-04  9.41E-09  8.36E-01  1.62E-01  2.10E-08  3.82E-05  5.95E-05  4.83E-07
8.167E+08  2171.6  2.19E+07  3.96E-04  5.34E-05  7.56E-04  9.30E-09  8.36E-01  1.62E-01  1.88E-08  3.86E-05  5.90E-05  4.53E-07
7.866E+08  2150.6  2.62E+07  3.98E-04  5.13E-05  7.58E-04  9.10E-09  8.36E-01  1.62E-01  1.65E-08  3.87E-05  5.86E-05  4.20E-07
7.578E+08  2130.6  3.05E+07  4.01E-04  4.92E-05  7.60E-04  8.87E-09  8.36E-01  1.62E-01  1.43E-08  3.89E-05  5.83E-05  3.87E-07
7.247E+08  2107.5  3.47E+07  4.02E-04  4.83E-05  7.61E-04  8.83E-09  8.36E-01  1.62E-01  1.29E-08  3.93E-05  5.76E-05  3.65E-07
6.891E+08  2080.1  3.89E+07  4.02E-04  4.82E-05  7.61E-04  8.91E-09  8.36E-01  1.62E-01  1.19E-08  3.99E-05  5.65E-05  3.49E-07
6.652E+08  2060.7  4.31E+07  4.05E-04  4.56E-05  7.64E-04  8.59E-09  8.36E-01  1.62E-01  1.01E-08  3.99E-05  5.64E-05  3.18E-07
6.492E+08  2047.7  4.72E+07  4.09E-04  4.15E-05  7.68E-04  8.01E-09  8.36E-01  1.62E-01  8.18E-09  3.96E-05  5.70E-05  2.80E-07
6.237E+08  2027.1  5.13E+07  4.11E-04  3.96E-05  7.70E-04  7.79E-09  8.36E-01  1.62E-01  7.06E-09  3.98E-05  5.67E-05  2.58E-07
5.994E+08  2007.3  5.53E+07  4.13E-04  3.79E-05  7.72E-04  7.57E-09  8.36E-01  1.62E-01  6.10E-09  4.00E-05  5.64E-05  2.37E-07
5.761E+08  1985.7  5.93E+07  4.15E-04  3.60E-05  7.74E-04  7.34E-09  8.36E-01  1.62E-01  5.23E-09  4.01E-05  5.61E-05  2.17E-07
5.542E+08  1965.3  6.33E+07  4.17E-04  3.40E-05  7.76E-04  7.07E-09  8.36E-01  1.62E-01  4.43E-09  4.02E-05  5.59E-05  1.97E-07
5.324E+08  1945.1  6.72E+07  4.18E-04  3.23E-05  7.77E-04  6.83E-09  8.36E-01  1.62E-01  3.77E-09  4.03E-05  5.57E-05  1.79E-07
