(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.000E+09  2286.5  0.00E+00  4.09E-04  5.33E-05  7.52E-04  8.62E-09  8.36E-01  1.62E-01  2.26E-08  3.71E-05  6.22E-05  6.29E-07
8.437E+08  2190.5  6.40E+06  4.16E-04  4.67E-05  7.59E-04  8.07E-09  8.36E-01  1.62E-01  1.34E-08  3.81E-05  6.04E-05  4.70E-07
7.118E+08  2098.4  1.25E+07  4.24E-04  3.99E-05  7.66E-04  7.40E-09  8.36E-01  1.62E-01  7.55E-09  3.90E-05  5.88E-05  3.42E-07
6.005E+08  2008.3  1.84E+07  4.32E-04  3.27E-05  7.73E-04  6.56E-09  8.36E-01  1.62E-01  3.98E-09  3.96E-05  5.77E-05  2.38E-07
5.066E+08  1921.3  2.40E+07  4.39E-04  2.60E-05  7.80E-04  5.64E-09  8.36E-01  1.62E-01  1.97E-09  4.00E-05  5.70E-05  1.61E-07
4.274E+08  1840.1  2.94E+07  4.45E-04  2.02E-05  7.85E-04  4.77E-09  8.36E-01  1.62E-01  9.48E-10  4.04E-05  5.64E-05  1.06E-07
3.606E+08  1769.6  3.45E+07  4.49E-04  1.61E-05  7.89E-04  4.12E-09  8.36E-01  1.62E-01  4.80E-10  4.06E-05  5.58E-05  7.32E-08
3.042E+08  1716.3  3.95E+07  4.51E-04  1.42E-05  7.91E-04  3.87E-09  8.36E-01  1.62E-01  2.92E-10  4.09E-05  5.54E-05  5.75E-08
2.567E+08  1671.2  4.43E+07  4.52E-04  1.32E-05  7.92E-04  3.78E-09  8.36E-01  1.62E-01  1.93E-10  4.11E-05  5.49E-05  4.78E-08
2.166E+08  1626.1  4.90E+07  4.53E-04  1.19E-05  7.94E-04  3.62E-09  8.36E-01  1.62E-01  1.23E-10  4.15E-05  5.41E-05  3.82E-08
1.827E+08  1586.5  5.35E+07  4.54E-04  1.10E-05  7.94E-04  3.56E-09  8.36E-01  1.62E-01  8.22E-11  4.23E-05  5.25E-05  3.13E-08
1.541E+08  1565.1  5.79E+07  4.53E-04  1.22E-05  7.93E-04  4.06E-09  8.36E-01  1.62E-01  7.57E-11  4.44E-05  4.83E-05  3.02E-08
1.300E+08  1557.1  6.23E+07  4.50E-04  1.56E-05  7.90E-04  5.20E-09  8.36E-01  1.62E-01  8.94E-11  4.61E-05  4.48E-05  3.51E-08
1.097E+08  1550.0  6.67E+07  4.45E-04  1.99E-05  7.86E-04  6.68E-09  8.36E-01  1.62E-01  1.07E-10  4.77E-05  4.18E-05  4.13E-08
9.256E+07  1539.7  7.10E+07  4.41E-04  2.45E-05  7.81E-04  8.30E-09  8.36E-01  1.62E-01  1.19E-10  4.91E-05  3.90E-05  4.64E-08
7.809E+07  1531.8  7.53E+07  4.34E-04  3.07E-05  7.75E-04  1.05E-08  8.36E-01  1.62E-01  1.39E-10  5.03E-05  3.65E-05  5.38E-08
6.589E+07  1526.8  7.96E+07  4.26E-04  3.94E-05  7.66E-04  1.34E-08  8.36E-01  1.62E-01  1.69E-10  5.14E-05  3.43E-05  6.48E-08
