nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 CH3        CH3                                         C2H6                                                    0.231E-10  0.268E+01    35
 H          CH3                                         CH4                                                     0.174E-09  0.268E+01    36
 OH         OH                                          H2O2                                                    0.245E-11  0.268E+01    37
 nb reac fichier :           1           3
 C2H6                                                   CH3        CH3                                          0.967E+08  0.268E+01    38
 CH4                                                    CH3        H                                            0.568E+06  0.268E+01    39
 H2O2                                                   OH         OH                                           0.308E+10  0.268E+01    40
 nb reac fichier :           2           3
 NH         NO                                          HNNO                                                    0.180E-11  0.268E+01    41
 HNNO                                                   NH         NO                                           0.146E+10  0.268E+01   998
 NO2        H                                           HONO                                                    0.938E-13  0.268E+01    42
 HONO                                                   NO2        H                                            0.738E+04  0.268E+01   999
 NO         OOH                                         HNO3                                                    0.145E-13  0.268E+01    43
 HNO3                                                   NO         OOH                                          0.155E+09  0.268E+01  1000
 C          N2                                          CNN                                                     0.997E-11  0.268E+01    44
 CNN                                                    C          N2                                           0.579E+11  0.268E+01  1001
 H          H                                           H2                                                      0.127E-10  0.268E+01    45
 H2                                                     H          H                                            0.314E+04  0.268E+01  1002
 H          O3P                                         OH                                                      0.414E-10  0.268E+01    46
 OH                                                     H          O3P                                          0.688E+04  0.268E+01  1003
 H          OH                                          H2O                                                     0.848E-10  0.268E+01    47
 H2O                                                    H          OH                                           0.337E+04  0.268E+01  1004
 CO         O3P                                         CO2                                                     0.637E-11  0.268E+01    48
 CO2                                                    CO         O3P                                          0.932E+03  0.268E+01  1005
 O3P        O3P                                         O2                                                      0.642E-12  0.268E+01    49
 O2                                                     O3P        O3P                                          0.406E+02  0.268E+01  1006
 nb reac fichier :           3           9
 OH         CH3                                         CH3OH                                                   0.170E-10  0.268E+01    50
 CH3OH                                                  OH         CH3                                          0.533E+07  0.268E+01  1007
 CO         CH3                                         CH3CO                                                   0.646E-13  0.268E+01    51
 CH3CO                                                  CO         CH3                                          0.115E+12  0.268E+01  1008
 C2H4       OH                                          2C2H4OH                                                 0.881E-11  0.268E+01    52
 2C2H4OH                                                C2H4       OH                                           0.767E+12  0.268E+01  1009
 O2         H                                           OOH                                                     0.121E-10  0.268E+01    53
 OOH                                                    O2         H                                            0.167E+09  0.268E+01  1010
 O2         CH3                                         CH3OO                                                   0.136E-11  0.268E+01    54
 CH3OO                                                  O2         CH3                                          0.470E+11  0.268E+01  1011
 NO         O3P                                         NO2                                                     0.249E-11  0.268E+01    55
 NO2                                                    NO         O3P                                          0.155E+08  0.268E+01  1012
 NO2        O3P                                         NO3                                                     0.132E-11  0.268E+01    56
 NO3                                                    NO2        O3P                                          0.405E+10  0.268E+01  1013
 NO2        NO                                          N2O3                                                    0.123E-18  0.268E+01    57
 N2O3                                                   NO2        NO                                           0.238E+06  0.268E+01  1014
 H          NO                                          HNO                                                     0.805E-11  0.268E+01    58
 HNO                                                    H          NO                                           0.534E+09  0.268E+01  1015
 NO         OH                                          HONO                                                    0.185E-11  0.268E+01    59
 HONO                                                   NO         OH                                           0.545E+10  0.268E+01  1016
 NO2        OH                                          HNO3                                                    0.479E-12  0.268E+01    60
 HNO3                                                   NO2        OH                                           0.434E+10  0.268E+01  1017
 CH         N2                                          HCNN                                                    0.153E-11  0.268E+01    61
 HCNN                                                   CH         N2                                           0.127E+11  0.268E+01  1018
 OH         NO2                                         HONO2                                                   0.311E-12  0.268E+01    62
 HONO2                                                  OH         NO2                                          0.620E+10  0.268E+01  1019
 CH3O       NO                                          CH3ONO                                                  0.143E-10  0.268E+01    63
 CH3ONO                                                 CH3O       NO                                           0.382E+12  0.268E+01  1020
 nb reac fichier :           4          14
 CH3        NO                                          CH3NO                                                   0.156E-10  0.268E+01    64
 CH3NO                                                  CH3        NO                                           0.497E+12  0.268E+01  1021
 nb reac fichier :           5           1
 CH3NO2                                                 CH3        NO2                                          0.670E+11  0.268E+01    65
 CH3        NO2                                         CH3NO2                                                  0.758E-09  0.268E+01  1022
 nb reac fichier :           6           1
 CH2CHO                                                 CH3CO                                                   0.319E+09  0.268E+01    66
 CH3CO                                                  CH2CHO                                                  0.853E+08  0.268E+01  1023
 CH2CHO                                                 H          CH2CO                                        0.716E+10  0.268E+01    67
 H          CH2CO                                       CH2CHO                                                  0.193E-10  0.268E+01  1024
 cC2H4O                                                 CH4        CO                                           0.404E+08  0.268E+01    68
 CH4        CO                                          cC2H4O                                                  0.624E-21  0.268E+01  1025
 cC2H4O                                                 CH3CHO                                                  0.246E+09  0.268E+01    69
 CH3CHO                                                 cC2H4O                                                  0.490E+05  0.268E+01  1026
 cC2H4O                                                 CH3        HCO                                          0.121E+09  0.268E+01    70
 CH3        HCO                                         cC2H4O                                                  0.406E-14  0.268E+01  1027
 C2H5O                                                  H2CO       CH3                                          0.702E+12  0.268E+01    71
 H2CO       CH3                                         C2H5O                                                   0.831E-13  0.268E+01  1028
 C2H5O                                                  CH3CHO     H                                            0.118E+13  0.268E+01    72
 CH3CHO     H                                           C2H5O                                                   0.847E-11  0.268E+01  1029
 2C2H4OH                                                H          CH3CHO                                       0.140E+11  0.268E+01    73
 H          CH3CHO                                      2C2H4OH                                                 0.164E-12  0.268E+01  1030
 1C2H4OH                                                CH3CHO     H                                            0.693E+10  0.268E+01    74
 CH3CHO     H                                           1C2H4OH                                                 0.223E-12  0.268E+01  1031
 2C2H4OH                                                1C2H4OH                                                 0.262E+09  0.268E+01    75
 1C2H4OH                                                2C2H4OH                                                 0.953E+08  0.268E+01  1032
 CH3OO                                                  H2CO       OH                                           0.478E+09  0.268E+01    76
