# wavelength (nm), cross section(cm^2)
5.260000e+01, 3.039000e-17
5.270000e+01, 3.052462e-17
5.280000e+01, 3.065923e-17
5.290000e+01, 3.079385e-17
5.300000e+01, 3.092846e-17
5.310000e+01, 3.106308e-17
5.320000e+01, 3.119769e-17
5.330000e+01, 3.133231e-17
5.340000e+01, 3.146692e-17
5.350000e+01, 3.160154e-17
5.360000e+01, 3.173615e-17
5.370000e+01, 3.187077e-17
5.380000e+01, 3.200538e-17
5.390000e+01, 3.214000e-17
5.400000e+01, 3.205375e-17
5.410000e+01, 3.196750e-17
5.420000e+01, 3.188125e-17
5.430000e+01, 3.179500e-17
5.440000e+01, 3.170875e-17
5.450000e+01, 3.162250e-17
5.460000e+01, 3.153625e-17
5.470000e+01, 3.145000e-17
5.480000e+01, 3.136375e-17
5.490000e+01, 3.127750e-17
5.500000e+01, 3.119125e-17
5.510000e+01, 3.110500e-17
5.520000e+01, 3.101875e-17
5.530000e+01, 3.093250e-17
5.540000e+01, 3.084625e-17
5.550000e+01, 3.076000e-17
5.560000e+01, 3.081038e-17
5.570000e+01, 3.086077e-17
5.580000e+01, 3.091115e-17
5.590000e+01, 3.096154e-17
5.600000e+01, 3.101192e-17
5.610000e+01, 3.106231e-17
5.620000e+01, 3.111269e-17
5.630000e+01, 3.116308e-17
5.640000e+01, 3.121346e-17
5.650000e+01, 3.126385e-17
5.660000e+01, 3.131423e-17
5.670000e+01, 3.136462e-17
5.680000e+01, 3.141500e-17
5.690000e+01, 3.146538e-17
5.700000e+01, 3.151577e-17
5.710000e+01, 3.156615e-17
5.720000e+01, 3.161654e-17
5.730000e+01, 3.166692e-17
5.740000e+01, 3.171731e-17
5.750000e+01, 3.176769e-17
5.760000e+01, 3.181808e-17
5.770000e+01, 3.186846e-17
5.780000e+01, 3.191885e-17
5.790000e+01, 3.196923e-17
5.800000e+01, 3.201962e-17
5.810000e+01, 3.207000e-17
5.820000e+01, 3.224000e-17
5.830000e+01, 3.241000e-17
5.840000e+01, 3.258000e-17
5.850000e+01, 3.275000e-17
5.860000e+01, 3.292000e-17
5.870000e+01, 3.309000e-17
5.880000e+01, 3.326000e-17
5.890000e+01, 3.343000e-17
5.900000e+01, 3.360000e-17
5.910000e+01, 3.377000e-17
5.920000e+01, 3.394000e-17
5.930000e+01, 3.411000e-17
5.940000e+01, 3.428000e-17
5.950000e+01, 3.445000e-17
5.960000e+01, 3.462000e-17
5.970000e+01, 3.479000e-17
5.980000e+01, 3.496000e-17
5.990000e+01, 3.513000e-17
6.000000e+01, 3.530000e-17
6.010000e+01, 3.528563e-17
6.020000e+01, 3.527126e-17
6.030000e+01, 3.525689e-17
6.040000e+01, 3.524252e-17
6.050000e+01, 3.522816e-17
6.060000e+01, 3.521379e-17
6.070000e+01, 3.519942e-17
6.080000e+01, 3.518505e-17
6.090000e+01, 3.517068e-17
6.100000e+01, 3.515631e-17
6.110000e+01, 3.515331e-17
6.120000e+01, 3.515031e-17
6.130000e+01, 3.514731e-17
6.140000e+01, 3.514432e-17
6.150000e+01, 3.514132e-17
6.160000e+01, 3.506781e-17
6.170000e+01, 3.499431e-17
6.180000e+01, 3.492081e-17
6.190000e+01, 3.484731e-17
6.200000e+01, 3.477380e-17
6.210000e+01, 3.479891e-17
6.220000e+01, 3.482402e-17
6.230000e+01, 3.484912e-17
6.240000e+01, 3.487423e-17
6.250000e+01, 3.489933e-17
6.260000e+01, 3.492280e-17
6.270000e+01, 3.494626e-17
6.280000e+01, 3.496972e-17
6.290000e+01, 3.499318e-17
6.300000e+01, 3.501664e-17
6.310000e+01, 3.500604e-17
6.320000e+01, 3.499543e-17
6.330000e+01, 3.498483e-17
6.340000e+01, 3.497422e-17
6.350000e+01, 3.496362e-17
6.360000e+01, 3.492991e-17
6.370000e+01, 3.489619e-17
6.380000e+01, 3.486248e-17
6.390000e+01, 3.482876e-17
6.400000e+01, 3.479505e-17
6.410000e+01, 3.485819e-17
6.420000e+01, 3.492134e-17
6.430000e+01, 3.498449e-17
6.440000e+01, 3.504763e-17
6.450000e+01, 3.511078e-17
6.460000e+01, 3.507996e-17
6.470000e+01, 3.504914e-17
6.480000e+01, 3.501832e-17
6.490000e+01, 3.498749e-17
6.500000e+01, 3.495667e-17
6.510000e+01, 3.502755e-17
6.520000e+01, 3.509843e-17
